STATION,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed,SOURCE.1
8449013025,4.0,30.47,39.0,45.0,81.0,6.15,16.0,4.0
8449013025,4.0,30.5,41.0,46.0,82.0,6.15,14.0,4.0
8449013025,4.0,30.5,43.0,52.0,72.0,6.15,15.0,4.0
8449013025,4.0,30.5,43.0,55.0,63.0,6.15,16.0,4.0
8449013025,4.0,30.47,45.0,61.0,55.0,6.15,16.0,4.0
8449013025,4.0,30.45,45.0,63.0,52.0,6.15,17.0,4.0
8449013025,4.0,30.42,45.0,64.0,49.0,6.15,14.0,4.0
8449013025,4.0,30.42,45.0,64.0,49.0,6.15,16.0,4.0
8449013025,4.0,30.42,45.0,64.0,49.0,6.15,14.0,4.0
8449013025,4.0,30.42,43.0,61.0,52.0,6.15,10.0,4.0
8449013025,4.0,30.42,43.0,57.0,59.0,6.15,8.0,4.0
8449013025,4.0,30.45,41.0,55.0,59.0,6.15,9.0,4.0
8449013025,4.0,30.45,39.0,52.0,62.0,6.15,8.0,4.0
8449013025,4.0,30.47,39.0,50.0,67.0,6.15,7.0,4.0
8449013025,4.0,30.45,41.0,50.0,71.0,6.15,10.0,4.0
8449013025,4.0,30.45,39.0,48.0,71.0,6.15,8.0,4.0
8449013025,4.0,30.45,41.0,48.0,76.0,6.15,10.0,4.0
8449013025,4.0,30.45,41.0,46.0,82.0,6.15,13.0,4.0
8449013025,4.0,30.47,39.0,45.0,81.0,6.15,6.0,4.0
8449013025,4.0,30.45,37.0,43.0,81.0,6.15,5.0,4.0
8449013025,4.0,30.45,37.0,43.0,81.0,6.15,8.0,4.0
8449013025,4.0,30.42,36.0,41.0,81.0,6.15,11.0,4.0
8449013025,4.0,30.45,36.0,43.0,76.0,6.15,8.0,4.0
8449013025,4.0,30.45,36.0,41.0,81.0,6.15,7.0,4.0
8449013025,4.0,30.45,37.0,43.0,81.0,6.15,8.0,4.0
8449013025,4.0,30.47,37.0,45.0,76.0,6.15,7.0,4.0
8449013025,4.0,30.5,39.0,50.0,67.0,6.15,7.0,4.0
8449013025,4.0,30.5,41.0,55.0,59.0,6.15,8.0,4.0
8449013025,4.0,30.47,43.0,59.0,55.0,6.15,11.0,4.0
8449013025,4.0,30.45,46.0,64.0,52.0,6.15,8.0,4.0
8449013025,4.0,30.42,46.0,68.0,46.0,6.15,8.0,4.0
8449013025,4.0,30.39,46.0,68.0,46.0,6.15,7.0,4.0
8449013025,4.0,30.39,48.0,68.0,49.0,6.15,5.0,4.0
8449013025,4.0,30.39,50.0,63.0,64.0,6.15,6.0,4.0
8449013025,4.0,30.39,48.0,57.0,72.0,6.15,5.0,4.0
8449013025,4.0,30.39,48.0,54.0,82.0,6.15,2.0,4.0
8449013025,4.0,30.39,46.0,50.0,88.0,6.15,1.0,4.0
8449013025,4.0,30.42,50.0,55.0,82.0,6.15,6.0,4.0
8449013025,4.0,30.39,50.0,52.0,94.0,6.15,2.0,4.0
8449013025,4.0,30.39,48.0,52.0,88.0,6.15,6.0,4.0
8449013025,4.0,30.39,46.0,48.0,94.0,6.15,0.0,4.0
8449013025,4.0,30.39,45.0,45.0,100.0,6.15,1.0,4.0
8449013025,4.0,30.36,41.0,45.0,87.0,6.15,3.0,4.0
8449013025,4.0,30.36,43.0,45.0,93.0,6.15,1.0,4.0
8449013025,4.0,30.36,39.0,41.0,93.0,6.15,3.0,4.0
8449013025,4.0,30.36,39.0,41.0,93.0,6.15,7.0,4.0
8449013025,4.0,30.36,37.0,41.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.36,37.0,41.0,87.0,6.15,3.0,4.0
8449013025,4.0,30.36,39.0,41.0,93.0,6.15,6.0,4.0
8449013025,4.0,30.39,41.0,45.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.42,41.0,46.0,82.0,6.15,8.0,4.0
8449013025,4.0,30.42,43.0,52.0,72.0,6.15,6.0,4.0
8449013025,4.0,30.39,45.0,59.0,59.0,6.15,2.0,4.0
8449013025,4.0,30.36,48.0,59.0,68.0,6.15,6.0,4.0
8449013025,4.0,30.33,41.0,64.0,43.0,6.15,5.0,4.0
8449013025,4.0,30.33,45.0,63.0,52.0,6.15,9.0,4.0
8449013025,4.0,30.33,48.0,61.0,63.0,6.15,8.0,4.0
8449013025,4.0,30.3,48.0,57.0,72.0,6.15,8.0,4.0
8449013025,4.0,30.3,48.0,52.0,88.0,6.15,8.0,4.0
8449013025,4.0,30.3,48.0,52.0,88.0,6.15,9.0,4.0
8449013025,4.0,30.3,48.0,52.0,88.0,6.15,5.0,4.0
8449013025,4.0,30.3,45.0,48.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.3,45.0,48.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.3,41.0,48.0,76.0,6.15,8.0,4.0
8449013025,4.0,30.27,41.0,52.0,67.0,6.15,10.0,4.0
8449013025,4.0,30.3,39.0,46.0,76.0,6.15,7.0,4.0
8449013025,4.0,30.3,39.0,48.0,71.0,6.15,6.0,4.0
8449013025,4.0,30.3,39.0,46.0,76.0,6.15,5.0,4.0
8449013025,4.0,30.3,39.0,46.0,76.0,6.15,7.0,4.0
8449013025,4.0,30.27,37.0,45.0,76.0,6.15,6.0,4.0
8449013025,4.0,30.3,37.0,45.0,76.0,6.15,6.0,4.0
8449013025,4.0,30.3,37.0,45.0,76.0,6.15,3.0,4.0
8449013025,4.0,30.33,39.0,46.0,76.0,6.15,6.0,4.0
8449013025,4.0,30.36,41.0,52.0,67.0,6.15,7.0,4.0
8449013025,4.0,30.33,45.0,57.0,63.0,6.15,6.0,4.0
8449013025,4.0,30.33,46.0,63.0,56.0,6.15,6.0,4.0
8449013025,4.0,30.3,48.0,66.0,52.0,6.15,5.0,4.0
8449013025,4.0,30.27,45.0,68.0,43.0,6.15,7.0,4.0
8449013025,4.0,30.27,46.0,70.0,43.0,6.15,6.0,4.0
8449013025,4.0,30.27,48.0,68.0,49.0,6.15,3.0,4.0
8449013025,4.0,30.27,50.0,64.0,60.0,6.15,3.0,4.0
8449013025,4.0,30.27,50.0,61.0,68.0,6.15,2.0,4.0
8449013025,4.0,30.27,48.0,57.0,72.0,6.15,6.0,4.0
8449013025,4.0,30.27,48.0,55.0,77.0,6.15,2.0,4.0
8449013025,4.0,30.27,46.0,52.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.3,45.0,52.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.27,45.0,52.0,77.0,6.15,9.0,4.0
8449013025,4.0,30.27,45.0,52.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.27,43.0,48.0,82.0,6.15,8.0,4.0
8449013025,4.0,30.27,43.0,46.0,87.0,6.15,9.0,4.0
8449013025,4.0,30.27,41.0,45.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.27,41.0,45.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.24,39.0,43.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.24,39.0,45.0,81.0,6.15,7.0,4.0
8449013025,4.0,30.27,39.0,43.0,87.0,6.15,10.0,4.0
8449013025,4.0,30.27,39.0,41.0,93.0,6.15,2.0,4.0
8449013025,4.0,30.3,43.0,46.0,87.0,6.15,8.0,4.0
8449013025,4.0,30.3,46.0,55.0,72.0,6.15,6.0,4.0
8449013025,4.0,30.3,46.0,59.0,63.0,6.15,5.0,4.0
8449013025,4.0,30.27,50.0,64.0,60.0,6.15,11.0,4.0
8449013025,4.0,30.27,48.0,64.0,56.0,6.15,6.0,4.0
8449013025,4.0,30.24,48.0,66.0,52.0,6.15,6.0,4.0
8449013025,4.0,30.24,48.0,66.0,52.0,6.15,7.0,4.0
8449013025,4.0,30.21,46.0,66.0,49.0,6.15,7.0,4.0
8449013025,4.0,30.24,48.0,63.0,59.0,6.15,1.0,4.0
8449013025,4.0,30.24,48.0,57.0,72.0,6.15,6.0,4.0
8449013025,4.0,30.27,46.0,54.0,77.0,6.15,3.0,4.0
8449013025,4.0,30.27,46.0,52.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.27,46.0,50.0,88.0,6.15,3.0,4.0
8449013025,4.0,30.27,45.0,50.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.27,45.0,48.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.27,45.0,48.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.27,43.0,45.0,93.0,6.15,6.0,4.0
8449013025,4.0,30.24,46.0,48.0,94.0,6.15,6.0,4.0
8449013025,4.0,30.27,41.0,45.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.24,41.0,43.0,93.0,6.15,8.0,4.0
8449013025,4.0,30.24,41.0,41.0,100.0,4.97,3.0,4.0
8449013025,4.0,30.24,39.0,41.0,93.0,4.97,5.0,4.0
8449013025,4.0,30.27,41.0,41.0,100.0,6.15,7.0,4.0
8449013025,4.0,30.27,45.0,45.0,100.0,3.11,9.0,4.0
8449013025,4.0,30.27,43.0,45.0,93.0,3.11,8.0,4.0
8449013025,4.0,30.27,45.0,46.0,93.0,6.15,7.0,4.0
8449013025,4.0,30.27,45.0,48.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.3,46.0,52.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.3,48.0,57.0,72.0,6.15,7.0,4.0
8449013025,4.0,30.27,48.0,61.0,63.0,6.15,6.0,4.0
8449013025,4.0,30.24,48.0,63.0,59.0,6.15,3.0,4.0
8449013025,4.0,30.24,48.0,63.0,59.0,6.15,2.0,4.0
8449013025,4.0,30.24,50.0,63.0,64.0,6.15,1.0,4.0
8449013025,4.0,30.24,50.0,63.0,64.0,6.15,0.0,4.0
8449013025,4.0,30.27,48.0,61.0,63.0,6.15,5.0,4.0
8449013025,4.0,30.27,48.0,57.0,72.0,6.15,13.0,4.0
8449013025,4.0,30.3,48.0,55.0,77.0,6.15,11.0,4.0
8449013025,4.0,30.3,48.0,55.0,77.0,6.15,14.0,4.0
8449013025,4.0,30.33,46.0,55.0,72.0,6.15,15.0,4.0
8449013025,4.0,30.3,46.0,54.0,77.0,6.15,16.0,4.0
8449013025,4.0,30.33,45.0,55.0,67.0,6.15,15.0,4.0
8449013025,4.0,30.3,45.0,52.0,77.0,6.15,10.0,4.0
8449013025,4.0,30.3,45.0,52.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.3,45.0,50.0,82.0,6.15,8.0,4.0
8449013025,4.0,30.3,45.0,50.0,82.0,6.15,8.0,4.0
8449013025,4.0,30.3,45.0,50.0,82.0,6.15,10.0,4.0
8449013025,4.0,30.3,41.0,45.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.3,39.0,43.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.33,37.0,41.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.33,37.0,41.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.33,41.0,48.0,76.0,6.15,6.0,4.0
8449013025,4.0,30.36,48.0,61.0,63.0,6.15,16.0,4.0
8449013025,4.0,30.36,48.0,63.0,59.0,6.15,18.0,4.0
8449013025,4.0,30.33,48.0,63.0,59.0,6.15,16.0,4.0
8449013025,4.0,30.3,48.0,64.0,56.0,6.15,18.0,4.0
8449013025,4.0,30.27,46.0,64.0,52.0,6.15,19.0,4.0
8449013025,4.0,30.27,46.0,63.0,56.0,6.15,21.0,4.0
8449013025,4.0,30.3,46.0,63.0,56.0,6.15,19.0,4.0
8449013025,4.0,30.3,46.0,61.0,59.0,6.15,14.0,4.0
8449013025,4.0,30.3,46.0,57.0,67.0,6.15,9.0,4.0
8449013025,4.0,30.33,46.0,57.0,67.0,6.15,14.0,4.0
8449013025,4.0,30.33,46.0,57.0,67.0,6.15,13.0,4.0
8449013025,4.0,30.33,45.0,52.0,77.0,6.15,9.0,4.0
8449013025,4.0,30.33,46.0,55.0,72.0,6.15,14.0,4.0
8449013025,4.0,30.33,45.0,54.0,72.0,6.15,13.0,4.0
8449013025,4.0,30.33,43.0,48.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.33,45.0,52.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.33,43.0,48.0,82.0,6.15,5.0,4.0
8449013025,4.0,30.33,41.0,45.0,87.0,6.15,1.0,4.0
8449013025,4.0,30.33,41.0,46.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.33,39.0,45.0,81.0,6.15,9.0,4.0
8449013025,4.0,30.33,39.0,45.0,81.0,6.15,8.0,4.0
8449013025,4.0,30.33,37.0,41.0,87.0,6.15,8.0,4.0
8449013025,4.0,30.33,37.0,41.0,87.0,6.15,9.0,4.0
8449013025,4.0,30.36,39.0,45.0,81.0,6.15,6.0,4.0
8449013025,4.0,30.36,43.0,50.0,76.0,6.15,9.0,4.0
8449013025,4.0,30.36,48.0,64.0,56.0,7.0,15.0,4.0
8449013025,4.0,30.33,48.0,66.0,52.0,7.0,15.0,4.0
8449013025,4.0,30.3,48.0,66.0,52.0,7.0,14.0,4.0
8449013025,4.0,30.3,46.0,64.0,52.0,7.0,16.0,4.0
8449013025,4.0,30.3,46.0,64.0,52.0,7.0,11.0,4.0
8449013025,4.0,30.33,46.0,61.0,59.0,6.15,15.0,4.0
8449013025,4.0,30.33,46.0,59.0,63.0,6.15,13.0,4.0
8449013025,4.0,30.33,46.0,57.0,67.0,6.15,15.0,4.0
8449013025,4.0,30.33,45.0,54.0,72.0,6.15,9.0,4.0
8449013025,4.0,30.33,46.0,54.0,77.0,6.15,9.0,4.0
8449013025,4.0,30.33,46.0,54.0,77.0,6.15,10.0,4.0
8449013025,4.0,30.33,46.0,54.0,77.0,6.15,9.0,4.0
8449013025,4.0,30.33,46.0,54.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.33,46.0,52.0,82.0,6.15,8.0,4.0
8449013025,4.0,30.33,43.0,48.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.33,43.0,46.0,87.0,6.15,9.0,4.0
8449013025,4.0,30.33,41.0,45.0,87.0,6.15,10.0,4.0
8449013025,4.0,30.33,41.0,45.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.33,41.0,45.0,87.0,6.15,9.0,4.0
8449013025,4.0,30.36,41.0,45.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.36,41.0,45.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.39,43.0,46.0,87.0,7.0,9.0,4.0
8449013025,4.0,30.39,41.0,46.0,82.0,6.15,10.0,4.0
8449013025,4.0,30.39,43.0,48.0,82.0,7.0,7.0,4.0
8449013025,4.0,30.33,45.0,54.0,72.0,7.0,9.0,4.0
8449013025,4.0,30.3,45.0,54.0,72.0,7.0,14.0,4.0
8449013025,4.0,30.3,46.0,59.0,63.0,6.15,10.0,4.0
8449013025,4.0,30.3,46.0,61.0,59.0,6.15,9.0,4.0
8449013025,4.0,30.3,46.0,63.0,56.0,6.15,7.0,4.0
8449013025,4.0,30.3,48.0,59.0,68.0,6.15,5.0,4.0
8449013025,4.0,30.33,48.0,57.0,72.0,6.15,1.0,4.0
8449013025,4.0,30.33,45.0,52.0,77.0,6.15,5.0,4.0
8449013025,4.0,30.33,45.0,52.0,77.0,6.15,5.0,4.0
8449013025,4.0,30.33,43.0,48.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.33,41.0,48.0,76.0,6.15,1.0,4.0
8449013025,4.0,30.33,41.0,46.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.33,41.0,46.0,82.0,6.15,5.0,4.0
8449013025,4.0,30.33,41.0,46.0,82.0,5.59,7.0,4.0
8449013025,4.0,30.33,41.0,46.0,82.0,6.15,6.0,4.0
8449013025,4.0,30.3,41.0,46.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.33,41.0,45.0,87.0,6.15,3.0,4.0
8449013025,4.0,30.3,39.0,43.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.3,39.0,45.0,81.0,5.59,5.0,4.0
8449013025,4.0,30.3,39.0,43.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.3,41.0,43.0,93.0,7.0,3.0,4.0
8449013025,4.0,30.3,45.0,48.0,87.0,7.0,6.0,4.0
8449013025,4.0,30.33,45.0,54.0,72.0,7.0,7.0,4.0
8449013025,4.0,30.3,46.0,57.0,67.0,7.0,9.0,4.0
8449013025,4.0,30.3,48.0,61.0,63.0,6.15,6.0,4.0
8449013025,4.0,30.27,50.0,63.0,64.0,6.15,6.0,4.0
8449013025,4.0,30.24,50.0,64.0,60.0,6.15,6.0,4.0
8449013025,4.0,30.24,50.0,64.0,60.0,7.0,3.0,4.0
8449013025,4.0,30.24,48.0,63.0,59.0,7.0,7.0,4.0
8449013025,4.0,30.24,48.0,61.0,63.0,7.0,0.0,4.0
8449013025,4.0,30.24,46.0,57.0,67.0,7.0,1.0,4.0
8449013025,4.0,30.24,46.0,54.0,77.0,7.0,3.0,4.0
8449013025,4.0,30.24,46.0,55.0,72.0,7.0,3.0,4.0
8449013025,4.0,30.24,45.0,52.0,77.0,7.0,2.0,4.0
8449013025,4.0,30.24,46.0,54.0,77.0,7.0,3.0,4.0
8449013025,4.0,30.24,46.0,54.0,77.0,7.0,1.0,4.0
8449013025,4.0,30.24,46.0,52.0,82.0,7.0,3.0,4.0
8449013025,4.0,30.24,46.0,52.0,82.0,7.0,3.0,4.0
8449013025,4.0,30.24,45.0,48.0,87.0,7.0,3.0,4.0
8449013025,4.0,30.24,43.0,46.0,87.0,6.15,2.0,4.0
8449013025,4.0,30.21,43.0,45.0,93.0,7.0,1.0,4.0
8449013025,4.0,30.21,43.0,45.0,93.0,7.0,2.0,4.0
8449013025,4.0,30.21,41.0,43.0,93.0,7.0,3.0,4.0
8449013025,4.0,30.21,45.0,46.0,93.0,4.97,2.0,4.0
8449013025,4.0,30.24,45.0,46.0,93.0,1.86,0.0,4.0
8449013025,4.0,30.24,48.0,50.0,94.0,2.49,0.0,4.0
8449013025,4.0,30.27,50.0,57.0,77.0,5.59,2.0,4.0
8449013025,4.0,30.27,50.0,59.0,72.0,6.15,5.0,4.0
8449013025,4.0,30.24,48.0,61.0,63.0,6.15,8.0,4.0
8449013025,4.0,30.24,50.0,61.0,68.0,7.0,10.0,4.0
8449013025,4.0,30.21,50.0,61.0,68.0,6.15,8.0,4.0
8449013025,4.0,30.21,46.0,61.0,59.0,6.15,9.0,4.0
8449013025,4.0,30.21,46.0,59.0,63.0,6.15,8.0,4.0
8449013025,4.0,30.21,46.0,59.0,63.0,6.15,6.0,4.0
8449013025,4.0,30.21,48.0,55.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.21,48.0,55.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.21,48.0,52.0,88.0,6.15,5.0,4.0
8449013025,4.0,30.21,48.0,52.0,88.0,6.15,2.0,4.0
8449013025,4.0,30.21,46.0,50.0,88.0,6.15,1.0,4.0
8449013025,4.0,30.21,45.0,46.0,93.0,6.15,0.0,4.0
8449013025,4.0,30.21,41.0,45.0,87.0,6.15,0.0,4.0
8449013025,4.0,30.21,43.0,45.0,93.0,6.15,1.0,4.0
8449013025,4.0,30.21,48.0,50.0,94.0,6.15,5.0,4.0
8449013025,4.0,30.21,43.0,45.0,93.0,6.15,2.0,4.0
8449013025,4.0,30.18,39.0,41.0,93.0,6.15,2.0,4.0
8449013025,4.0,30.18,41.0,41.0,100.0,6.15,3.0,4.0
8449013025,4.0,30.18,41.0,41.0,100.0,5.59,5.0,4.0
8449013025,4.0,30.18,39.0,41.0,93.0,4.35,7.0,4.0
8449013025,4.0,30.18,39.0,41.0,93.0,1.24,5.0,4.0
8449013025,4.0,30.15,41.0,41.0,100.0,1.86,5.0,4.0
8449013025,4.0,30.18,45.0,46.0,93.0,3.11,5.0,4.0
8449013025,4.0,30.18,50.0,55.0,82.0,3.73,3.0,4.0
8449013025,4.0,30.18,48.0,55.0,77.0,5.59,6.0,4.0
8449013025,4.0,30.15,52.0,55.0,88.0,4.97,3.0,4.0
8449013025,4.0,30.12,52.0,59.0,77.0,7.0,10.0,4.0
8449013025,4.0,30.09,54.0,57.0,88.0,7.0,14.0,4.0
8449013025,4.0,30.09,54.0,55.0,94.0,3.11,14.0,4.0
8449013025,4.0,30.09,54.0,55.0,94.0,4.97,11.0,4.0
8449013025,4.0,30.06,52.0,55.0,88.0,7.0,9.0,4.0
8449013025,4.0,30.06,52.0,57.0,82.0,7.0,7.0,4.0
8449013025,4.0,30.06,50.0,55.0,82.0,7.0,7.0,4.0
8449013025,4.0,30.06,48.0,55.0,77.0,7.0,6.0,4.0
8449013025,4.0,30.09,48.0,52.0,88.0,4.35,9.0,4.0
8449013025,4.0,30.06,48.0,50.0,94.0,7.0,2.0,4.0
8449013025,4.0,30.06,48.0,50.0,94.0,7.0,0.0,4.0
8449013025,4.0,30.06,48.0,50.0,94.0,7.0,0.0,4.0
8449013025,4.0,30.06,46.0,46.0,100.0,7.0,0.0,4.0
8449013025,4.0,30.03,48.0,48.0,100.0,7.0,2.0,4.0
8449013025,4.0,30.03,46.0,52.0,82.0,7.0,8.0,4.0
8449013025,4.0,30.0,46.0,50.0,88.0,7.0,5.0,4.0
8449013025,4.0,30.0,46.0,50.0,88.0,7.0,1.0,4.0
8449013025,4.0,29.97,46.0,55.0,72.0,7.0,10.0,4.0
8449013025,4.0,29.94,48.0,54.0,82.0,7.0,9.0,4.0
8449013025,4.0,29.94,48.0,52.0,88.0,7.0,3.0,4.0
8449013025,4.0,29.97,46.0,50.0,88.0,3.11,11.0,4.0
8449013025,4.0,29.94,46.0,50.0,88.0,3.73,3.0,4.0
